block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
3	209	1	-0.12216624	3	2	2	3	3010	72
3	142	1	0.11421426	3	1	1	1	3020	24
3	103	1	-2.14729752e-002	3	1	2	2	3020	140
3	140	1	-0.1289257	3	1	2	2	3020	61
3	131	1	0.14380547	3	1	1	1	3030	37
3	110	1	0.20731406	3	1	1	1	3040	117
3	78	1	0.21664699	3	1	1	1	3050	364
3	147	1	-3.1893182e-002	3	1	2	2	3050	86
3	232	1	-1.176477e-002	3	2	2	3	3060	34
3	121	1	0.11466508	3	1	1	1	3070	55
3	170	1	-8.570833e-003	3	1	2	2	3070	95
3	205	1	-7.5198904e-002	3	2	2	3	3080	50
3	119	1	3.6882061e-002	3	1	2	2	3080	89
3	75	1	-5.023028e-002	3	1	2	2	3080	38
3	157	1	-4.5317128e-002	3	1	2	2	3080	182
3	233	1	-6.789602e-002	3	2	2	3	3090	142
3	47	1	0.17304011	3	1	1	1	3100	127
3	115	1	0.14085107	3	1	1	1	3110	97
3	211	1	-0.1164281	3	2	2	3	3120	104
3	61	1	0.10498687	3	1	1	1	3130	133
3	117	1	0.10553501	3	1	1	1	3140	92
3	184	1	1.5991466e-002	3	1	1	1	3150	114
3	144	1	0.14547007	3	1	1	1	3160	71
3	231	1	-6.9421496e-002	3	2	2	3	3170	344
3	54	1	-9.4483454e-002	3	1	2	2	3170	85
3	96	1	0.16906168	3	1	1	1	3180	148
3	145	1	0.10868112	3	1	1	1	3190	202
3	68	1	0.16313831	3	1	1	1	3200	26
3	81	1	0.17198154	3	1	1	1	3210	90
3	218	1	-7.6625992e-002	3	2	2	3	3220	245
3	183	1	-7.2167947e-002	3	1	2	2	3220	140
3	74	1	0.13461935	3	1	1	1	3230	147
3	102	1	0.11399682	3	1	1	1	3240	90
3	65	1	0.25095552	3	1	1	1	3250	56
3	41	1	0.1081645	3	1	1	1	3260	182
3	199	1	-5.3891144e-002	3	2	2	3	3270	104
3	139	1	8.259045e-002	3	1	1	1	3280	376
3	126	1	-2.60486854e-002	3	1	2	2	3280	55
3	206	1	-0.12929231	3	2	2	3	3290	50
3	58	1	0.19739685	3	1	1	1	3300	61
3	229	1	-0.21112816	3	2	2	3	3310	108
3	236	1	-0.13866929	3	2	2	3	3320	40
3	228	1	-0.14409754	3	2	2	3	3330	1648
3	235	1	-0.23230231	3	2	2	3	3340	181
3	215	1	-8.846665e-002	3	2	2	3	3350	127
3	161	1	5.905386e-002	3	1	1	1	3360	119
3	108	1	9.466801e-002	3	1	1	1	3370	114
3	234	1	-0.15636211	3	2	2	3	3380	34
3	90	1	0.25938176	3	1	1	1	3390	111
3	105	1	-7.362053e-002	3	1	2	2	3390	86
3	153	1	0.11487475	3	1	1	1	3400	274
3	186	1	5.4633332e-002	3	1	2	2	3400	355
3	137	1	7.9426774e-002	3	1	1	1	3410	178
3	116	1	8.359244e-002	3	1	1	1	3420	291
3	104	1	8.931455e-002	3	1	1	1	3430	102
3	207	1	-4.6456292e-002	3	2	2	3	3440	188
3	107	1	0.13720621	3	1	1	1	3450	161
3	46	1	7.4494948e-002	3	1	2	2	3450	358
3	89	1	0.18476546	3	1	1	1	3460	307
3	164	1	7.1387484e-002	3	1	1	1	3470	350
3	53	1	0.10228711	3	1	1	1	3480	328
3	67	1	1.435469e-002	3	1	2	2	3480	398
3	204	1	4.713423e-003	3	2	2	3	3490	62
3	200	1	-0.12022724	3	2	2	3	3500	178
3	55	1	2.736874e-003	3	1	2	2	3500	283
3	45	1	-6.447642e-003	3	1	2	2	3500	159
3	84	1	-6.1585697e-002	3	1	2	2	3500	22
3	127	1	0.19547268	3	1	1	1	3510	10
3	56	1	1.0051949e-002	3	1	1	1	3520	730
3	43	1	0.12827477	3	1	1	1	3530	248
3	129	1	0.30035285	3	1	1	1	3540	329
3	63	1	6.3425432e-002	3	1	1	1	3550	266
3	187	1	9.049093e-002	3	1	2	2	3550	610
3	158	1	-2.30196067e-002	3	1	1	1	3560	242
3	60	1	-7.6721658e-002	3	1	2	2	3560	823
3	212	1	9.828815e-003	3	2	1	4	3560	193
3	219	1	-7.3086139e-002	3	2	2	3	3570	55
3	92	1	1.6637085e-002	3	1	1	1	3580	78
3	85	1	-8.8086021e-002	3	1	2	2	3580	89
3	138	1	4.4031015e-002	3	1	1	1	3590	160
3	42	1	0.17143495	3	1	1	1	3600	257
3	76	1	3.8847598e-002	3	1	1	1	3610	312
3	82	1	0.16993933	3	1	1	1	3620	226
3	69	1	0.16760009	3	1	1	1	3630	312
3	125	1	1.5014328e-002	3	1	2	2	3630	186
3	213	1	1.68343828e-002	3	2	2	3	3640	166
3	149	1	0.18841195	3	1	1	1	3650	102
3	154	1	0.18834135	3	1	1	1	3660	101
3	99	1	0.13218764	3	1	1	1	3670	149
3	132	1	7.8063085e-002	3	1	1	1	3680	202
3	79	1	0.15068492	3	1	1	1	3690	127
3	93	1	0.19019004	3	1	1	1	3700	77
3	146	1	0.22183576	3	1	1	1	3710	279
3	113	1	-5.3430309e-002	3	1	2	2	3710	304
3	152	1	-8.1986924e-002	3	1	2	2	3710	377
3	223	1	-0.34383796	3	2	2	3	3720	168
3	171	1	6.0837718e-002	3	1	1	1	3730	224
3	178	1	0.35825861	3	1	1	1	3740	370
3	94	1	8.297883e-003	3	1	1	1	3750	339
3	190	1	0.12707564	3	1	2	2	3750	590
3	73	1	3.4095359e-002	3	1	1	1	3760	226
3	136	1	0.15631092	3	1	1	1	3770	471
3	195	1	2.35039295e-002	3	2	2	3	3780	87
3	224	1	-2.5489832e-002	3	2	2	3	3790	493
3	59	1	0.18398944	3	1	1	1	3800	64
3	101	1	0.19684062	3	1	1	1	3810	292
3	118	1	0.14971622	3	1	1	1	3820	361
3	87	1	0.24634625	3	1	1	1	3830	121
3	238	1	-7.640521e-003	3	2	2	3	3840	318
3	80	1	0.14075702	3	1	1	1	3850	184
3	226	1	-0.12443304	3	2	2	3	3860	97
3	168	1	-4.221675e-002	3	1	2	2	3860	109
3	193	1	-6.341075e-003	3	2	2	3	3870	132
3	134	1	-7.8974118e-002	3	1	2	2	3870	1061
3	91	1	3.1487821e-002	3	1	1	1	3880	512
3	237	1	-0.21637439	3	2	2	3	3890	223
3	180	1	2.0305485e-002	3	1	1	1	3900	33
3	97	1	1.6456825e-002	3	1	2	2	3900	226
3	182	1	0.17248121	3	1	1	1	3910	315
3	50	1	1.0133324e-002	3	1	1	1	3920	390
3	159	1	0.13928357	3	1	1	1	3930	112
3	114	1	0.18042367	3	1	1	1	3940	24
3	188	1	2.3963825e-002	3	1	1	1	3950	315
3	197	1	-0.11078829	3	2	2	3	3960	130
3	151	1	0.14429255	3	1	1	1	3970	157
3	98	1	4.2649729e-002	3	1	1	1	3980	217
3	201	1	-0.16269556	3	2	2	3	3990	35
3	239	1	-9.036276e-002	3	2	2	3	4000	71
3	155	1	-0.14401199	3	1	2	2	4000	197
3	185	1	3.5198479e-002	3	1	1	1	4010	281
3	70	1	9.38308e-002	3	1	1	1	4020	1275
3	109	1	-1.2572349e-002	3	1	1	1	4030	911
3	156	1	5.6435572e-002	3	1	1	1	4040	385
3	148	1	7.2531232e-002	3	1	2	2	4040	1702
3	166	1	4.520745e-002	3	1	1	1	4050	276
3	48	1	3.641921e-003	3	1	1	1	4060	128
3	77	1	2.5992232e-002	3	1	1	1	4070	195
3	62	1	-1.65552625e-002	3	1	2	2	4070	398
3	83	1	8.327174e-002	3	1	1	1	4080	144
3	191	1	-0.1350841	3	2	2	3	4090	459
3	86	1	8.377812e-002	3	1	1	1	4100	231
3	165	1	0.11806104	3	1	1	1	4110	123
3	135	1	0.10496505	3	1	2	2	4110	546
3	196	1	-0.11434074	3	2	2	3	4120	149
3	174	1	3.4795858e-002	3	1	1	1	4130	304
3	133	1	0.12322552	3	1	1	1	4140	166
3	173	1	0.2759332	3	1	1	1	4150	273
3	169	1	8.215643e-002	3	1	1	1	4160	254
3	175	1	0.13332546	3	1	1	1	4170	711
3	198	1	4.9557083e-002	3	2	1	4	4170	725
3	214	1	-7.4337257e-002	3	2	2	3	4180	603
3	217	1	-0.26036553	3	2	2	3	4190	213
3	57	1	-4.6593037e-002	3	1	2	2	4190	84
3	106	1	0.13762177	3	1	1	1	4200	155
3	172	1	0.14895146	3	1	1	1	4210	432
3	176	1	3.4294456e-002	3	1	2	2	4210	737
3	111	1	0.17879209	3	1	1	1	4220	245
3	189	1	0.12334416	3	1	1	1	4230	143
3	240	1	-0.26530058	3	2	2	3	4240	65
3	227	1	0.1579327	3	2	1	4	4240	482
3	150	1	7.8545044e-002	3	1	2	2	4240	415
3	88	1	0.16309997	3	1	1	1	4250	241
3	216	1	7.201041e-003	3	2	1	4	4250	73
3	51	1	0.1654441	3	1	1	1	4260	42
3	202	1	-0.13172171	3	2	2	3	4270	98
3	160	1	0.18902526	3	1	1	1	4280	71
3	143	1	0.13505928	3	1	1	1	4290	256
3	225	1	2.78006343e-002	3	2	1	4	4290	168
3	72	1	6.3323332e-002	3	1	1	1	4300	882
3	71	1	0.30422314	3	1	1	1	4310	374
3	64	1	8.456788e-002	3	1	1	1	4320	80
3	221	1	-0.16848597	3	2	2	3	4330	335
3	141	1	0.20418683	3	1	1	1	4340	190
3	163	1	0.26022461	3	1	1	1	4350	180
3	222	1	-0.22101754	3	2	2	3	4360	53
3	100	1	0.15128994	3	1	1	1	4370	59
3	230	1	-9.456881e-002	3	2	2	3	4380	138
3	49	1	-4.3569781e-002	3	1	2	2	4380	156
3	220	1	-4.3441322e-002	3	2	2	3	4390	121
3	210	1	6.431265e-002	3	2	1	4	4390	123
3	192	1	-0.21422651	3	2	2	3	4400	112
3	203	1	-4.0009063e-002	3	2	2	3	4410	159
3	112	1	8.813816e-003	3	1	2	2	4410	360
3	162	1	2.8077879e-002	3	1	1	1	4420	470
3	122	1	3.35149e-003	3	1	2	2	4420	502
3	123	1	3.065478e-002	3	1	1	1	4430	238
3	194	1	-0.17195489	3	2	2	3	4440	627
3	130	1	5.3209321e-002	3	1	1	1	4450	480
3	52	1	5.2543439e-002	3	1	1	1	4460	89
3	167	1	0.13073297	3	1	1	1	4470	130
3	128	1	0.1119257	3	1	1	1	4480	98
3	179	1	9.813291e-002	3	1	1	1	4490	364
3	177	1	8.894461e-002	3	1	1	1	4500	487
3	181	1	0.18022244	3	1	1	1	4510	154
3	95	1	0.30000215	3	1	1	1	4520	244
3	120	1	0.23539132	3	1	1	1	4530	187
3	44	1	0.11735506	3	1	1	1	4540	331
3	124	1	0.23045367	3	1	1	1	4550	134
3	208	1	-1.2878555e-002	3	2	2	3	4560	230
3	66	1	0.11704364	3	1	1	1	4570	130
4	10	0	-5.3879728e-002	4	1	2	2	4570	196
4	13	0	6.6746294e-002	4	1	1	1	4570	321
4	19	0	0.50080661	4	1	1	1	4570	131
4	18	0	6.0089443e-002	4	1	1	1	4570	95
4	9	0	0.18917244	4	1	1	1	4570	66
4	7	0	7.6261897e-002	4	1	2	2	4570	94
4	16	0	0.250133	4	1	1	1	4570	49
4	24	0	-6.8563484e-002	4	1	2	2	4570	53
4	29	0	0.39795047	4	1	1	1	4570	320
4	17	0	0.25163095	4	1	1	1	4570	37
4	1	0	0.1923527	4	1	1	1	4570	166
4	20	0	0.1988371	4	1	1	1	4570	11
4	33	0	3.844629e-002	4	2	2	3	4570	8
4	22	0	8.462419e-002	4	1	1	1	4570	34
4	21	0	0.20039717	4	1	1	1	4570	109
4	8	0	-0.12760913	4	1	2	2	4570	6
4	6	0	-4.2695798e-002	4	1	2	2	4570	55
4	2	0	0.18994203	4	1	1	1	4570	52
4	39	0	-0.11076994	4	2	2	3	4570	43
4	40	0	2.21576856e-002	4	2	2	3	4570	62
4	35	0	-8.354934e-002	4	2	2	3	4570	77
4	5	0	0.21101478	4	1	1	1	4570	65
4	32	0	-0.48216788	4	2	2	3	4570	37
4	37	0	-0.14231279	4	2	2	3	4570	81
4	25	0	6.073893e-002	4	1	2	2	4570	46
4	34	0	-9.684105e-002	4	2	2	3	4570	38
4	3	0	0.55966833	4	1	1	1	4570	14
4	38	0	0.30035098	4	2	1	4	4570	483
4	30	0	-0.3263697	4	1	2	2	4570	19
4	11	0	0.35295918	4	1	1	1	4570	377
4	36	0	-0.16121901	4	2	2	3	4570	59
4	4	0	0.17146416	4	1	1	1	4570	137
4	14	0	8.424323e-003	4	1	1	1	4570	313
4	27	0	-0.16625248	4	1	2	2	4570	104
4	15	0	-0.19488676	4	1	2	2	4570	3
4	31	0	-0.29239754	4	2	2	3	4570	330
4	28	0	-0.28753088	4	1	2	2	4570	59
4	23	0	0.23372836	4	1	1	1	4570	79
4	12	0	0.27577016	4	1	1	1	4570	1
4	26	0	-0.119046145	4	1	2	2	4570	97
4	145	1	6.6594952e-002	4	1	1	1	4580	266
4	162	1	-6.7433024e-002	4	1	2	2	4580	123
4	186	1	0.30228795	4	1	1	1	4590	35
4	144	1	0.13531938	4	1	1	1	4600	57
4	137	1	9.951727e-002	4	1	1	1	4610	53
4	102	1	-2.46693623e-002	4	1	2	2	4610	92
4	152	1	8.38525e-002	4	1	1	1	4620	107
4	159	1	0.20468621	4	1	1	1	4630	100
4	45	1	-1.72258406e-002	4	1	2	2	4630	109
4	114	1	0.27832376	4	1	1	1	4640	73
4	153	1	-0.1900707	4	1	2	2	4640	91
4	130	1	0.20453402	4	1	1	1	4650	16
4	52	1	-8.1352766e-002	4	1	1	1	4660	270
4	231	1	-0.10029087	4	2	1	4	4660	39
4	127	1	0.32828485	4	1	1	1	4670	47
4	225	1	-0.4434471	4	2	2	3	4680	78
4	115	1	0.21728745	4	1	1	1	4690	56
4	158	1	-1.49712756e-002	4	1	2	2	4690	72
4	87	1	0.20995	4	1	1	1	4700	126
4	205	1	-2.9141138e-002	4	2	2	3	4710	39
4	238	1	7.9053285e-002	4	2	1	4	4710	138
4	92	1	-0.116253173	4	1	2	2	4710	116
4	196	1	4.9830563e-002	4	2	1	4	4710	116
4	219	1	-0.37234657	4	2	2	3	4720	20
4	213	1	-0.42339145	4	2	2	3	4730	46
4	111	1	3.4632413e-002	4	1	1	1	4740	277
4	50	1	0.24491746	4	1	1	1	4750	147
4	98	1	0.12427294	4	1	1	1	4760	11
4	218	1	-0.12596143	4	2	2	3	4770	75
4	106	1	0.16442538	4	1	1	1	4780	63
4	170	1	0.20043727	4	1	1	1	4790	52
4	95	1	6.9957059e-002	4	1	1	1	4800	74
4	71	1	-3.9009916e-002	4	1	2	2	4800	48
4	124	1	-6.5096526e-002	4	1	2	2	4800	42
4	147	1	0.16346234	4	1	1	1	4810	39
4	233	1	-0.23288189	4	2	2	3	4820	100
4	201	1	8.9300133e-002	4	2	1	4	4820	60
4	178	1	6.203479e-002	4	1	1	1	4830	71
4	126	1	4.2497737e-002	4	1	1	1	4840	58
4	146	1	-6.3455646e-002	4	1	2	2	4840	32
4	119	1	0.15882012	4	1	1	1	4850	27
4	72	1	-6.7133917e-002	4	1	2	2	4850	171
4	51	1	6.7919335e-002	4	1	1	1	4860	84
4	96	1	2.2672e-003	4	1	2	2	4860	126
4	62	1	5.6762408e-002	4	1	1	1	4870	148
4	155	1	0.18832635	4	1	1	1	4880	197
4	128	1	0.17449766	4	1	1	1	4890	179
4	133	1	0.10303056	4	1	1	1	4900	121
4	42	1	7.8246618e-002	4	1	1	1	4910	72
4	206	1	0.16155789	4	2	1	4	4910	117
4	68	1	0.5301862	4	1	1	1	4920	155
4	100	1	-0.25943895	4	1	2	2	4920	76
4	76	1	-0.17697738	4	1	2	2	4920	58
4	143	1	0.19350143	4	1	1	1	4930	103
4	84	1	-1.35564452e-002	4	1	1	1	4940	291
4	132	1	6.1100553e-002	4	1	1	1	4950	142
4	65	1	0.42043781	4	1	1	1	4960	108
4	63	1	5.1237546e-002	4	1	1	1	4970	67
4	64	1	0.29495391	4	1	1	1	4980	33
4	154	1	0.1029271	4	1	1	1	4990	57
4	48	1	3.5443225e-002	4	1	2	2	4990	106
4	171	1	8.808854e-002	4	1	1	1	5000	77
4	104	1	0.25713557	4	1	1	1	5010	57
4	121	1	-6.1820678e-002	4	1	2	2	5010	723
4	56	1	7.465039e-002	4	1	1	1	5020	199
4	57	1	0.46316485	4	1	1	1	5030	67
4	194	1	7.8828543e-002	4	2	1	4	5030	166
4	235	1	-0.23798655	4	2	2	3	5040	77
4	66	1	0.15824707	4	1	1	1	5050	85
4	110	1	1.9293558e-002	4	1	1	1	5060	145
4	176	1	-0.3244186	4	1	2	2	5060	91
4	165	1	-0.40944745	4	1	2	2	5060	52
4	220	1	-0.65646723	4	2	2	3	5070	3
4	236	1	-4.7672574e-002	4	2	2	3	5080	91
4	122	1	8.586933e-002	4	1	1	1	5090	137
4	131	1	0.28184676	4	1	1	1	5100	130
4	113	1	0.3051519	4	1	1	1	5110	97
4	103	1	-0.26316577	4	1	2	2	5110	140
4	180	1	0.21044515	4	1	1	1	5120	21
4	109	1	0.2095312	4	1	1	1	5130	26
4	46	1	9.557959e-002	4	1	1	1	5140	133
4	141	1	0.30564567	4	1	1	1	5150	435
4	190	1	-0.1545941	4	1	2	2	5150	264
4	108	1	7.149735e-003	4	1	2	2	5150	98
4	44	1	-0.115723171	4	1	2	2	5150	75
4	169	1	-0.47836774	4	1	2	2	5150	39
4	60	1	-0.17306157	4	1	2	2	5150	95
4	167	1	-0.31691476	4	1	2	2	5150	119
4	116	1	0.18625086	4	1	1	1	5160	114
4	200	1	0.23333669	4	2	1	4	5160	35
4	129	1	0.29889448	4	1	1	1	5170	71
4	53	1	0.42256756	4	1	1	1	5180	124
4	212	1	-0.21145938	4	2	2	3	5190	293
4	184	1	5.3330429e-002	4	1	1	1	5200	108
4	138	1	7.0881072e-002	4	1	1	1	5210	99
4	223	1	-0.19532918	4	2	2	3	5220	111
4	216	1	-0.1821394	4	2	1	4	5220	7697
4	173	1	-0.18019512	4	1	2	2	5220	351
4	91	1	3.2733547e-002	4	1	1	1	5230	249
4	234	1	2.027509e-003	4	2	1	4	5230	83
4	99	1	2.0535003e-002	4	1	1	1	5240	23
4	217	1	-5.7322523e-002	4	2	1	4	5240	52
4	117	1	0.22528741	4	1	1	1	5250	172
4	69	1	7.7864414e-002	4	1	1	1	5260	183
4	93	1	-7.3917646e-002	4	1	2	2	5260	85
4	86	1	0.25792493	4	1	1	1	5270	156
4	179	1	1.1547516e-002	4	1	1	1	5280	79
4	211	1	1.37531049e-002	4	2	1	4	5280	59
4	237	1	0.3155808	4	2	1	4	5280	363
4	175	1	2.4308912e-002	4	1	2	2	5280	244
4	140	1	-0.23272375	4	1	2	2	5280	80
4	81	1	-0.13679587	4	1	2	2	5280	93
4	148	1	0.30491198	4	1	1	1	5290	114
4	83	1	9.633604e-002	4	1	1	1	5300	234
4	230	1	-0.13455961	4	2	2	3	5310	333
4	59	1	-0.28161974	4	1	2	2	5310	180
4	164	1	0.38415075	4	1	1	1	5320	233
4	105	1	-0.35332907	4	1	2	2	5320	145
4	222	1	-0.17249319	4	2	2	3	5330	182
4	208	1	0.17902935	4	2	1	4	5330	188
4	215	1	5.8827453e-002	4	2	1	4	5330	188
4	227	1	-4.7712824e-002	4	2	2	3	5340	375
4	156	1	-7.3533173e-002	4	1	2	2	5340	234
4	157	1	0.33656502	4	1	1	1	5350	251
4	204	1	-0.15950714	4	2	2	3	5360	84
4	107	1	2.1038181e-002	4	1	1	1	5370	80
4	197	1	-0.24629485	4	2	2	3	5380	88
4	120	1	0.20632483	4	1	1	1	5390	81
4	136	1	0.69485457	4	1	1	1	5400	61
4	198	1	9.9190812e-002	4	2	1	4	5400	173
4	54	1	0.26243167	4	1	1	1	5410	26
4	134	1	-4.5631398e-002	4	1	2	2	5410	108
4	139	1	0.25165114	4	1	1	1	5420	70
4	239	1	0.12747335	4	2	1	4	5420	116
4	214	1	0.21410382	4	2	1	4	5420	93
4	199	1	-0.44269728	4	2	2	3	5430	70
4	174	1	-0.18359581	4	1	2	2	5430	52
4	228	1	-0.29236217	4	2	2	3	5440	34
4	226	1	-0.18434612	4	2	2	3	5450	134
4	135	1	0.15751449	4	1	1	1	5460	136
4	80	1	0.54257273	4	1	1	1	5470	128
4	232	1	-0.36582119	4	2	2	3	5480	76
4	142	1	-8.9514341e-002	4	1	2	2	5480	536
4	125	1	8.015287e-002	4	1	1	1	5490	323
4	41	1	0.21585998	4	1	1	1	5500	73
4	101	1	-3.9741858e-002	4	1	2	2	5500	247
4	166	1	-0.17800928	4	1	2	2	5500	67
4	240	1	0.39206599	4	2	1	4	5500	193
4	79	1	0.32052044	4	1	1	1	5510	175
4	191	1	7.503544e-003	4	2	1	4	5510	448
4	187	1	0.32043325	4	1	1	1	5520	9
4	97	1	1.7610978e-002	4	1	1	1	5530	126
4	160	1	1.0460526e-002	4	1	1	1	5540	411
4	209	1	0.47362461	4	2	1	4	5540	201
4	112	1	-9.4316167e-002	4	1	2	2	5540	188
4	89	1	0.28493928	4	1	1	1	5550	120
4	168	1	-0.18858936	4	1	2	2	5550	90
4	202	1	-5.7969033e-002	4	2	2	3	5560	251
4	58	1	0.26393542	4	1	1	1	5570	129
4	207	1	-0.28670832	4	2	2	3	5580	53
4	67	1	0.10546631	4	1	1	1	5590	209
4	185	1	-4.520747e-002	4	1	2	2	5590	112
4	189	1	-0.12534951	4	1	2	2	5590	103
4	118	1	0.21885077	4	1	1	1	5600	129
4	55	1	0.37776834	4	1	1	1	5610	162
4	47	1	8.52402e-002	4	1	1	1	5620	108
4	221	1	-8.949352e-002	4	2	2	3	5630	533
4	188	1	9.447637e-002	4	1	1	1	5640	248
4	70	1	-1.01098365e-002	4	1	2	2	5640	532
4	94	1	-0.16722458	4	1	2	2	5640	132
4	150	1	0.35921833	4	1	1	1	5650	104
4	172	1	-0.12618353	4	1	2	2	5650	89
4	183	1	8.615719e-002	4	1	1	1	5660	149
4	177	1	0.16134597	4	1	1	1	5670	128
4	73	1	9.633901e-002	4	1	1	1	5680	134
4	149	1	0.21652865	4	1	1	1	5690	107
4	163	1	-0.21020715	4	1	2	2	5690	126
4	78	1	0.29825656	4	1	1	1	5700	156
4	182	1	1.1062862e-002	4	1	1	1	5710	192
4	195	1	-0.11945276	4	2	2	3	5720	152
4	151	1	-0.19771783	4	1	2	2	5720	226
4	77	1	0.16724043	4	1	1	1	5730	120
4	193	1	-0.34150052	4	2	2	3	5740	130
4	61	1	0.19672612	4	1	1	1	5750	129
4	210	1	-0.17906943	4	2	2	3	5760	107
4	74	1	-9.2171393e-002	4	1	2	2	5760	79
4	181	1	0.14914898	4	1	1	1	5770	40
4	229	1	1.00987478e-002	4	2	1	4	5770	92
4	123	1	0.19007538	4	1	1	1	5780	376
4	192	1	-0.2475352	4	2	2	3	5790	97
4	224	1	-0.24919367	4	2	2	3	5800	8
4	49	1	-1.59410998e-002	4	1	1	1	5810	111
4	82	1	0.35290685	4	1	1	1	5820	3
4	75	1	-0.2916821	4	1	2	2	5820	113
4	88	1	-0.28123572	4	1	2	2	5820	130
4	90	1	0.24504645	4	1	1	1	5830	70
4	43	1	0.46238826	4	1	1	1	5840	294
4	203	1	-0.31222031	4	2	1	4	5840	305
4	85	1	-5.275935e-003	4	1	1	1	5850	164
4	161	1	-7.1664824e-002	4	1	1	1	5860	196
