block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
1	208	1	-0.30894308	2	2	2	3	500	255
1	219	1	-2.4811795e-002	2	2	2	3	510	321
1	203	1	0.18873028	2	2	1	4	510	285
1	77	1	0.26382708	2	1	1	1	520	570
1	75	1	-8.5657077e-002	2	1	2	2	520	206
1	106	1	2.90211464e-002	2	2	1	4	520	1210
1	190	1	-0.49400561	2	2	2	3	530	280
1	63	1	0.22078992	2	1	1	1	540	341
1	200	1	0.22581027	2	2	2	3	550	577
1	100	1	2.46775355e-002	2	2	1	4	550	1112
1	47	1	0.28769504	2	1	2	2	550	512
1	92	1	-0.24881624	2	2	2	3	560	197
1	143	1	5.822371e-003	2	2	2	3	570	371
1	176	1	-3.4424031e-002	2	2	2	3	580	489
1	211	1	-0.21160656	2	2	2	3	590	657
1	122	1	-0.13545935	2	2	2	3	600	197
1	206	1	-0.17500764	2	2	2	3	610	60
1	185	1	0.55325062	2	2	1	4	610	372
1	184	1	-0.39989008	2	2	2	3	620	242
1	88	1	0.16778188	2	1	1	1	630	186
1	178	1	0.28357483	2	2	1	4	630	184
1	68	1	7.3886156e-002	2	1	1	1	640	1822
1	79	1	0.46323678	2	1	1	1	650	279
1	125	1	-0.12511662	2	2	2	3	660	118
1	188	1	-7.8414821e-002	2	2	2	3	670	534
1	149	1	-2.3779708e-002	2	2	2	3	680	472
1	161	1	-0.14545246	2	2	2	3	690	322
1	231	1	-0.16593029	2	2	2	3	700	912
1	153	1	-5.1238193e-002	2	2	2	3	710	293
1	43	1	0.28955137	2	1	1	1	720	249
1	66	1	-8.332836e-003	2	1	2	2	720	247
1	213	1	-0.10341147	2	2	2	3	730	288
1	226	1	-2.6916234e-002	2	2	1	4	730	2128
1	103	1	-0.3011759	2	2	2	3	740	209
1	181	1	-0.3139344	2	2	2	3	750	255
1	84	1	-0.12766293	2	1	2	2	750	239
1	144	1	-0.22037325	2	2	2	3	760	9904
1	140	1	3.6285854e-002	2	2	1	4	760	1247
1	112	1	-0.14772671	2	2	2	3	770	144
1	172	1	-0.22003672	2	2	2	3	780	80
1	94	1	-0.34784397	2	2	2	3	790	154
1	160	1	-2.8962153e-002	2	2	2	3	800	991
1	60	1	4.1499889e-002	2	1	2	2	800	762
1	119	1	-0.1380538	2	2	2	3	810	456
1	177	1	0.26894399	2	2	1	4	810	254
1	62	1	0.15258765	2	1	1	1	820	213
1	126	1	-0.2256728	2	2	2	3	830	191
1	95	1	-0.20059274	2	2	2	3	840	210
1	225	1	0.14020958	2	2	1	4	840	276
1	174	1	-0.25388339	2	2	2	3	850	17
1	72	1	-0.19131252	2	1	2	2	850	57
1	162	1	6.8421419e-002	2	2	1	4	850	247
1	228	1	-0.16418663	2	2	2	3	860	240
1	196	1	-0.11001338	2	2	2	3	870	269
1	227	1	-0.11719107	2	2	2	3	880	373
1	191	1	-0.22311001	2	2	2	3	890	764
1	146	1	-0.24610845	2	2	2	3	900	491
1	169	1	-0.34834922	2	2	2	3	910	172
1	50	1	5.8702418e-002	2	1	1	1	920	567
1	55	1	-5.589763e-002	2	1	2	2	920	200
1	168	1	-7.3387859e-002	2	2	2	3	930	247
1	98	1	-0.30630974	2	2	2	3	940	322
1	114	1	-0.18424734	2	2	2	3	950	296
1	69	1	0.12078355	2	1	1	1	960	379
1	224	1	-6.0733685e-002	2	2	2	3	970	310
1	187	1	-0.21258734	2	2	2	3	980	91
1	91	1	-1.353406e-003	2	2	2	3	990	978
1	64	1	-7.0519389e-002	2	1	2	2	990	461
1	81	1	6.1787318e-002	2	1	1	1	1000	129
1	108	1	0.16329766	2	2	1	4	1000	94
1	124	1	-0.12385709	2	2	2	3	1010	1477
1	238	1	-0.2119555	2	2	2	3	1020	499
1	67	1	0.42026696	2	1	1	1	1030	254
1	82	1	7.5063991e-002	2	1	1	1	1040	210
1	101	1	0.1287928	2	2	1	4	1040	136
1	154	1	-3.3980823e-002	2	2	2	3	1050	289
1	199	1	-2.8932783e-002	2	2	2	3	1060	274
1	222	1	-0.1559895	2	2	2	3	1070	384
1	215	1	-4.938561e-003	2	2	2	3	1080	325
1	195	1	-0.17829847	2	2	2	3	1090	200
1	115	1	0.20444664	2	2	1	4	1090	287
1	237	1	-0.10448704	2	2	2	3	1100	157
1	99	1	-1.0936267e-002	2	2	2	3	1110	281
1	216	1	-0.28297747	2	2	2	3	1120	124
1	163	1	-0.28114079	2	2	2	3	1130	248
1	158	1	-0.21474187	2	2	2	3	1140	94
1	165	1	-3.9911649e-002	2	2	2	3	1150	280
1	189	1	-6.6198116e-002	2	2	2	3	1160	708
1	148	1	-0.36068602	2	2	2	3	1170	1635
1	217	1	-0.45797164	2	2	2	3	1180	255
1	89	1	7.1801319e-002	2	1	1	1	1190	304
1	113	1	-0.36472456	2	2	2	3	1200	781
1	133	1	-0.13213128	2	2	2	3	1210	234
1	142	1	-0.37851176	2	2	2	3	1220	227
1	73	1	0.22571712	2	1	1	1	1230	157
1	197	1	-6.3733531e-002	2	2	2	3	1240	186
1	85	1	0.18587337	2	1	1	1	1250	270
1	117	1	0.112117046	2	2	1	4	1250	236
1	138	1	-7.9055991e-002	2	2	2	3	1260	163
1	214	1	4.5986958e-002	2	2	2	3	1270	103
1	54	1	-3.9388228e-002	2	1	2	2	1270	187
1	121	1	-0.34342393	2	2	2	3	1280	164
1	134	1	0.102346658	2	2	1	4	1280	294
1	159	1	6.2809639e-002	2	2	1	4	1280	220
1	76	1	0.65752886	2	1	1	1	1290	169
1	192	1	2.58638907e-002	2	2	1	4	1290	244
1	59	1	0.19970301	2	1	1	1	1300	254
1	235	1	-0.29851775	2	2	2	3	1310	171
1	175	1	-4.3679364e-002	2	2	2	3	1320	135
1	230	1	0.102861431	2	2	1	4	1320	254
1	183	1	-0.26831448	2	2	2	3	1330	101
1	207	1	-0.11703781	2	2	2	3	1340	108
1	86	1	-0.36342376	2	1	2	2	1340	83
1	202	1	7.758058e-003	2	2	1	4	1340	327
1	49	1	-0.21661594	2	1	2	2	1340	207
1	152	1	1.81007037e-002	2	2	1	4	1340	522
2	14	0	0.22954421	1	2	1	4	1340	145
2	40	0	-0.35553944	1	2	2	3	1340	99
2	16	0	-0.16723568	1	2	2	3	1340	35
